Molecule Name;SmilesOfStructure;SmilesOfFragments and frequency
Smiles (2)34;ON1C2CCCCC2C3CC(CC)C4CC[NH+](C)CC4C13;*N(*)O[H];1;*[N](*)(*)*;1;CCC1CC(CC(C)C1CC)C2CCCCC2;1;C;1
Smiles (2)35;O=C(C=C(C1=CC(OCO)=C(O)C=C1CC2=CNC(N)C=C2CCC=3C=CC=C(C3)CCC=4C=CC=CC4)CO)CC(=O)CC5CC6(CC7C8NCC=CC8CC9CNCCC97)C%10CC(NCC(O)C)C6CCC5C%10;*C(=O)C=C;1;*OCO[H];1;[H]Oc;1;*N(*)C1C=CC=CN1*;1;[H]OC;2;*C(*)=O;1;*N(*)[H];3;C=C;1;c1ccc(cc1)C;1;c1ccc(cc1)CCc2cccc(c2)CC;1;C;3;CCC1C(C)CCCC1CC23CC(C)C4CCC3CCC2C4;1;CCC;1
Smiles (2)36;BrC=1C=C(Br)C(=C(Br)C1OC)CCN2CCC[NH+](C)C2;*Br;3;*O*;1;*N(*)C[N](*)(*)*;1;c1ccc(cc1)CC;1;C;2;CCC;1
Smiles (2)37;O=C([O-])C(N)CCCC[NH+]1C(=C(C=C(CCC(N)C(=O)O)C1)CCC(N)C(=O)O)CCCC(N)C(=O)O;*C(=O)O[H];4;[H]N([H])C;4;*[N](*)(*)C=CC=C;1;CCCCC;1;CCC;2;C;1;CCCC;1
Smiles (2)38;ClC(C)(CCC=C(C)CCC=C(C)C)C(O)CC1=CNC(=C1)N(O)O;*Cl;1;C=C;2;[H]OC;1;*N(O[H])O[H];1;*n(*)*;1;ccc(c)CCC(C)CC;1;C;3;CC;1
Smiles (2)39;O=C1N=C2N=NC(=C2C(=C1)C)C;O=C1N=C2N=NC=C2C=C1;1;C;2
Smiles (2)40;O=C([O-])CC(=O)OC(C(N)N)C1OC(OC=2C=C3OC4(CCC(=O)CC4)C5C6=CC=C(OC)C(OC)=C6OC5C3=C(C2)C[NH+]7C=C8C=CN=C8C7)C(O)C(O)C1O;*C(=O)O[H];1;*OC(*)=O;1;*N(*)CN(*)*;1;*OCO*;1;*O*;4;*C(*)=O;1;*[N](*)(*)C=C1C=NC=C1;1;[H]OC;3;C;4;CCCCC;1;c1ccc(cc1)C(Cc2ccccc2C)C(CC)CC;1
Smiles (2)41;O=C1C(OC2OC(C)C(O)C(O)C2OC3OC(C)C(O)C(O)C3O)=C(OC=4C1=C(O)C=C(OCC(O)C(O)C(O)C(O)CO)C4CC=C(C)C)C=5C=CC(OC)=CC5;O=[cH2];1;*OCO*;2;[H]OC;10;[H]Oc;1;*O*;2;C=C;1;*o*;1;c1ccc(cc1)-cccc2cccc(c2)C;1;CCCCC;2;CCCCCC;1;C;3
Smiles (2)42;O=C(NC1CCCCC1)C(N(C(=O)CC)CC=2OC=CC2)CC;*C(=O)N(*)*;2;*o*;1;C1CCCCC1;1;CCC;1;CC;1;ccccC;1
Smiles (2)43;O=C1C(=CC=C2N1CC3CN(C(=O)C4=CC(=NN4)C=5C=CC=CC5)CC2C3)[NH+]([O-])O;O=[cH2];1;*C(=O)N(*)*;1;*[N](*)(O[H])O[H];1;*n(*)*;3;cccccC(C)CC(C)C;1;ccc-c1ccccc1;1
Smiles (2)44;OCCC1CC2(C3=CC(=C)C4C(C3(C)C1C)C4(C)C)CCC(CC(CO)CC=5C=NCC5)C2;[H]OC;2;C=CC=C;1;*N=CC=C;1;CCC(CC1CCC(CC(C)C)C1)C(C)C(C)C2CC2(C)C;1;C;1
Smiles (2)45;O=C1NC(CC=2C=CC(OC3OC(CO)C(OC4OC(CO)C(OC5OC(CO)C(OC6OC(CO)C(OC7OC(CO)C(OC8OC(CO)C(OC9OC(CO)C(OC%10OC(CO)C(OC%11OC(CO)C(OC)C(O)C%11O)C(O)C%10O)C(O)C9O)C(O)C8O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4OC)C(O)C3O)=CC2)C(C1=O)(C)C;*C(=O)C(=O)N(*)*;1;*OCO*;9;[H]OC;26;*O*;2;c1ccc(cc1)CCC(C)C;1;CCCCC;9;C;2
Smiles (2)46;O=C1C=C(OC2=C1C(OCCCO)=C(OC)C(O)=C2CCC=3C=CC=C(C3)C=4C=C(NC4CO)CC)C=5C=CC(O)=CC5;O=[cH2];1;*O*;2;[H]OC;2;[H]Oc;2;*o*;1;*n(*)*;1;c1ccc(cc1)-cccc2cccc(c2)CCc3cccc(c3)-c(ccCC)cC;1;CCC;1;C;1
Smiles (2)47;FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(O)=NN1C=NN=C1;*F;17;*n(*)N=CO[H];1;*n(*)*;2;CCCCCCCC;1;c;2
Smiles (2)48;O=C(NC1=CC=C(C=C1)S(=O)(=O)C2=CC=C(N)C=C2)C;*C(=O)N(*)*;1;*S(*)(=O)=O;1;[H]N([H])c;1;c1ccccc1;2;C;1
Smiles (2)49;O=C(O)C12C(=O)CC(CC1)C2(C)C;*C(=O)O[H];1;*C(*)=O;1;CC1CCCC1(C)C;1
Smiles (2)50;O=C(NC1CN(CC2=NC=CC=C2)CCCC1O)C3=CC=C(O)C=C3;*C(=O)N(*)*;1;*N(*)*;1;[H]OC;1;[H]Oc;1;*n(*)*;1;CCCCCC;1;cccccC;1;c1ccccc1;1
Smiles (2)51;C(=CCCC1CNCCC1)CCCCCCC2CCC[NH+](CCCCCCCCC=CCC3CNCCC3)C2;C=C;2;*N(*)[H];2;*[N](*)(*)*;1;CCCC(C)CC;1;CCCCCCC(C)CCC;1;CCCCCCCC;1;CCCC(C)C;1
Smiles (2)52;O=C(O)CC(O)(C=1C=CC=CC1)C=2C=CC=CC2;*C(=O)O[H];1;[H]OC;1;c1ccc(cc1)C(c2ccccc2)C;1
Smiles (2)53;O=C(NC1SC2CCCCC2N1)C(OC3CCC4N5C(=O)C6C(OC)C(OC)CCC6C7[NH2+]CCC(C57)C4C3)C;*SC(N(*)*)N(*)C(*)=O;1;*O*;3;*C(=O)N(*)*;1;*[N](*)([H])[H];1;C1CCCCC1;1;CC;1;CCC(CCC1CCCCC1)C2CCCCC2;1;C;2
Smiles (2)54;O=C(OCC1OC(OCC2OC(OC3=CC=4C(O)=CC(O)=CC4[OH+]C3C5=CC=C(O)C(O)=C5)C(OCC6OC(O)C(O)C6O)C(O)C2O)C(O)C(O)C1O)C=CC7=CC(OC)=C(O)C(OC)=C7;*OC(=O)C=C;1;*OCO*;1;*OCOC=C;1;[H]Oc;5;*O(*)[H];1;*O*;3;*OCO[H];1;[H]OC;7;CCCCC;2;c1ccccc1;2;c1ccc(cc1)C;1;CCCC;1;C;2
Smiles (2)55;O=C1N(CCO)CCC1;*C(=O)N(*)*;1;[H]OC;1;CC;1;CCC;1
Smiles (2)56;O=C(NCC=1C=CC=CC1)CCC2N(C)C3CCN(C3C(=O)NC2)C4CCCCC4;*C(=O)N(*)*;2;*N(*)*;2;c1ccc(cc1)C;1;CCCC;2;C;1;C1CCCCC1;1
Smiles (2)57;O=C(O)C1OC(OC2C(OC(C(=O)O)C(O)C2O)OC3CCC4(C)C5CC=C6C7CC(C)(C)CC(OC8OC(=C(O)C(=O)C8)C)C7(C)CCC6(C)C5(C)CCC4C3(C)CO)C(O)C(O)C1O;*C(=O)O[H];2;*OCO*;2;[H]OC;6;C=C;1;*OCOC=C(O[H])C(*)=O;1;CCCC;2;CC(CCC1(C)CCC(C)(C)CC1)C2(C)CCC3C(C)(C)CCCC3(C)C2C;1;C;2
Smiles (2)58;O=C1N(C(=O)C2C1C3(Br)C=4C=CC=CC4C2(Br)C=5C=CC=CC53)C=6C=CC=CC6OCCC;*C(=O)N(*)C(*)=O;1;*Br;2;*O*;1;c1ccc2c(c1)C3c4ccccc4C2CC3;1;c1ccccc1;1;CCC;1
Smiles (2)59;O=C(NCC1=CC=C(OC)C=C1)C2OC(CCN3CCC(CO)CC3)CCC2O;*C(=O)N(*)*;1;*O*;2;*N(*)*;1;[H]OC;2;c1ccc(cc1)C;1;C;1;CCCCCCC;1;CCC(C)CC;1
Smiles (2)60;O=C(O)CONC(=O)C=1C=CC=CC1;*C(=O)O[H];1;*ON(*)C(*)=O;1;C;1;c1ccccc1;1
Smiles (2)61;[O-][NH+](O)CC1=NC(=NC(=N1)C[NH+]([O-])O)N;*[N](*)(O[H])O[H];2;[H]N([H])c;1;*n(*)*;3;cC;2;c;1
Smiles (2)62;O=C(O)C1=NN(C=2C=CC=CC12)CC3=CC=C(Cl)C=C3Cl;*C(=O)O[H];1;*Cl;2;*n(*)*;2;cc1ccccc1;1;c1ccc(cc1)C;1
Smiles (2)63;O=C1OC(C)CC(C=C(C)CC(C(=O)NC(C(=O)N(C)C(C(=O)NC1C)CC2=CC=C(O)C(Cl)=C2)CO)C)C;*OC(*)=O;1;C=C;1;*C(=O)N(*)*;3;[H]Oc;1;*Cl;1;[H]OC;1;CCCCC;1;C;2;CCC;1;CC;2;c1ccc(cc1)CC;1
Smiles (2)64;N#CC1=CC=C2N=C(SC2=C1)C=3SC(=CC3)C=4C=CC(=CC4)C5=NC6=CC=C(C#N)C=C6S5;N#C;2;*s*;3;*n(*)*;2;c1ccccc1;2;c-cccc-c1ccc(-c)cc1;1
Smiles (2)65;O=C(CCC1=CC=C(O)C(OC2CC#CC(O)C3=CC=C(C=C3CC=4C=NC5=C[NH+]2CC54)C(N)N)=C1)C(CCCCC)C(O)CC(O)CCC;*C(*)=O;1;[H]Oc;1;*OC[N](*)(*)C=C1N=CC=C1;1;C#C;1;[H]OC;3;*N(*)CN(*)*;1;c1ccc(cc1)CC;1;C;2;c1ccc(c(c1)C)C;1;CCCCCCCCCCCC;1
