Smiles;Frequency;Percentage;MoleculeFrequency;MoleculePercentage
c1ccc(cc1)CCc2cc(cccC)cc(c2)CCC(C)CCC;1;0.000;1;0.00
c1ccc(cc1)C(C)CC2(c3ccccc3)CCCC2;6;0.000;6;0.00
cccc(c)CC1c2ccccc2-c3cccc(c3C1)CCCc4cccc(c4)CCc5ccccc5;2;0.000;2;0.00
CCC(C)CCCCCCC1CCCCC1CC;5;0.000;5;0.00
*SC=NN(*)*;1;0.000;1;0.00
*OC(C(OCO*)=C)=C1C=CC(=O)C=C1;2;0.000;2;0.00
*[N](*)=C(N(*)*)N(*)*;1;0.000;1;0.00
*OC(=O)C(=NN(*)*)N1C(=S)N(*)N=CC=C1S*;1;0.000;1;0.00
c1cc2c(cc1C)C(CCC2C)C(C)CC;1;0.000;1;0.00
c1ccc(cc1)C(C)Cc2cc(cccC)cc(c2)CCC(C)C(C)C;1;0.000;1;0.00
*N(*)C(=NC(=CC(=O)O[H])C(C=C)=C[N](*)(*)*)N(*)*;19;0.000;19;0.00
CCC(CCC1CCCCC1)C2CCCCC2;31;0.000;31;0.00
CC1C(C)C2(CCCC2)CCC31CCCC3;4;0.000;4;0.00
*N(*)CON=C;1;0.000;1;0.00
CCCCCCCCCCCCCCCCCCC1CCC(CC(C)CC)C1;3;0.000;3;0.00
CCCCCC1(C)CCCC1;1;0.000;1;0.00
CCCCCC1CC1C;1;0.000;1;0.00
c1cc(cc(c1)CC(C)C2CCC3(CCC4(CC(C)CCC34)CC5CCCC(C)C5CC)C2)CC;1;0.000;1;0.00
*SC(C=C)N(*)n(*)*;2;0.000;2;0.00
*N=CN(*)C(=S)N(*)*;1;0.000;1;0.00
cccc(c)CCCCCCCCCCCCC;1;0.000;1;0.00
c1ccc2c(c1)CCCCC(C)C(C)CCc3cc(cccC)cc(c3)CC2C;4;0.000;4;0.00
*OS(=O)O[H];1;0.000;1;0.00
*C(=O)n(*)*;16;0.000;15;0.00
c-c1ccccc1CC;1;0.000;1;0.00
*OS(*)(=O)=O;15;0.000;10;0.00
c1ccc(cc1)CC(C)CCCc2cccc(c2)Cc3cc(cc(-cccc4cccc(c4)-c5cc6c7c(ccc8c7c5C(CC8)CCCCCC)CCC6CC)c3C)CC(C)C;1;0.000;1;0.00
cc(c1ccccc1)C2CCCC(C)C2;1;0.000;1;0.00
CCCC(C)CCCC(C)CCC(C)C;1;0.000;1;0.00
CCC(C)CCC1CCCC1(C)CC(CCC2CCCCC2)CC3(C)CCCCC43CCCC4;2;0.000;2;0.00
CCCC(C)CC1CC2(CCCC2)CC1CC;2;0.000;2;0.00
S=C=NC=C;1;0.000;1;0.00
CCC1CCC2C(CCC3(C)C(C)CCC23)C1C;1;0.000;1;0.00
*N(*)C(=O)C=C1C=NN(*)C1=O;1;0.000;1;0.00
*NC(=O)C=CC=C;1;0.000;1;0.00
*C(=O)N(*)CN(*)C[N](*)(*)CN(*)*;26;0.000;26;0.00
c1ccc(cc1)C(CC)C2CCCC(C)(CC)CC2;1;0.000;1;0.00
ccc(-c1ccccc1)c2cccc(c2)CC;1;0.000;1;0.00
*SC(=O)N(*)C(=O)N(*)*;1;0.000;1;0.00
*C(=O)C(C=C)=CC(=O)N(*)*;1;0.000;1;0.00
*C(=O)C(=CO[H])C(=O)C=C;3;0.000;3;0.00
CCC(C)C1CCC2CCCCC2C1;1;0.000;1;0.00
[H][H];2;0.000;2;0.00
CCCCCCC(CCCCC)C(C)C;1;0.000;1;0.00
c1cc(ccc1C)C(C)CCC;1;0.000;1;0.00
CCCCCC1CCCC(C)CC1C(C)CCC;2;0.000;2;0.00
ccccC1(CCC)CCCC1;2;0.000;2;0.00
*OC(=CC=CC=C)C=C[N](*)(*)*;1;0.000;1;0.00
c1cc(c(cc1CC2C(C)CCC3C(C)(C)CCCC23C)CC)C;1;0.000;1;0.00
c1ccc2c(c1)-c3ccccc3C2;3;0.000;3;0.00
c1cc(cc(c1)CC2CCCC(C)C2)CC;1;0.000;1;0.00
cc(c)C1Cc2ccccc2CC1;1;0.000;1;0.00
*[N](*)(*)C=CC(=C)C(=O)O[H];1;0.000;1;0.00
c1ccc(c(c1)C)CCCCCCCCCCCCCCCCC;1;0.000;1;0.00
*N=CC(=O)N(*)C=N*;1;0.000;1;0.00
c1ccc(cc1)C2CC(CCCCCC(C)CCCc3ccccc3CCCC)C(C)C4CC5(Cc6ccccc6CC24)CCCC75CCCC7;1;0.000;1;0.00
c1ccc(cc1)CCC(CC2(C)CCCCC2)CC3(C)CCCC3CCCC;2;0.000;2;0.00
cccc(c)CC1c2ccccc2-c3cccc(c3C1)CCCc4cccc(c4)CCC;2;0.000;2;0.00
*C(=O)C(C=C)=C[N](*)(*)*;2;0.000;2;0.00
c1ccc(c(c1)C)CCCCCCCC(CC)CCC;1;0.000;1;0.00
CC(C)C1CCC2C(C)(C)C(C)(CCCC3CCCCC3(C)C)CCC12C;2;0.000;2;0.00
CC1CCCC2(C)CCCC12;1;0.000;1;0.00
*N(N=O)O[H];5;0.000;3;0.00
cc(c1-cccccc1)-c2ccccc2;1;0.000;1;0.00
c1cc(ccc1CC(C)C)C2(CC)CCCCC2;2;0.000;2;0.00
c1ccc(cc1)CC(c2ccccc2)C;5;0.000;5;0.00
c1ccc2cc(ccc2c1)CCC;50;0.000;50;0.00
CCCCCCCCCCCCCCCCCCCCCCCC(C)CCCCCCC;1;0.000;1;0.00
c1ccc(cc1)CC(C)CCCCCCC(C)CCCc2ccccc2CCCC;2;0.000;2;0.00
CCCC(C)(C)CCC(C)CC;1;0.000;1;0.00
CCC1CCCCC1CCC2CCCCC2;5;0.000;4;0.00
CCCC(C)CCCC(C)CC;4;0.000;4;0.00
CC1CCCC1;68;0.000;67;0.01
*OC=CC(O*)=CC=C(O*)C=C(O*)[N](*)(*)*;1;0.000;1;0.00
*P(*)(OP(*)(O[H])(O[H])O[H])(O[H])O[H];1;0.000;1;0.00
c1ccc(cc1)CCCCCCCC(C)CCCc2ccccc2;1;0.000;1;0.00
CCCC1C(C)CCC(C)C1(C)C(C)CC;18;0.000;18;0.00
cccCCC;1;0.000;1;0.00
cc(ccC1(CCCCC1)CC(CCC)C2CCCCC(C)C2)C(C)CCCCC;1;0.000;1;0.00
CC1CC(CC2(CCCC2)C1)C3CC4CCC(C)C(C3)C4C(C)C;1;0.000;1;0.00
*N(*)C(=O)N(N(*)*)CO[H];1;0.000;1;0.00
*OC(=O)N(*)N=C;1;0.000;1;0.00
CCC(C)CCCCCC1CCCCC1;1;0.000;1;0.00
c1ccc(cc1)CCC(CC)CC;1;0.000;1;0.00
c(c(cC)CC)C;1;0.000;1;0.00
CCCC(CC)C1CCCCC(C)C1;1;0.000;1;0.00
CC1CCC1;2;0.000;2;0.00
c1ccc2c(c1)-c3ccc(cc3C4(C2)CCC(C)C4)C(C)Cc5cccc(c5C)C;18;0.000;18;0.00
CCC(C)C1CCC(C)C1(C)C;8;0.000;8;0.00
CCCCCCCCC(CCC)CCCCCCCC;2;0.000;2;0.00
cc1cc(cc(c1c)C)C(c2ccccc2)(CC)CC3CCCCC3;1;0.000;1;0.00
*OCN(*)C(=O)C=C;1;0.000;1;0.00
c1ccc2ccccc(cc1)C2;1;0.000;1;0.00
ccccCC1CC(C)CC1C(C)CCCCCCCCCCCCCCCCC;1;0.000;1;0.00
*N(*)C(=S)C=NN(*)C(=O)N(*)*;5;0.000;5;0.00
ccc(cc)cCC;16;0.000;16;0.00
CCC(C)(C)CCCC(C)C;2;0.000;2;0.00
C1CCC2CC2C1;1;0.000;1;0.00
c1ccc(cc1)CCC(c2ccccc2)Cc3ccccc3;4;0.000;4;0.00
c1ccc(cc1)CCCCCCC2CCCCC2;2;0.000;2;0.00
c1ccc(cc1)CCCCCCCCCCCCC;1;0.000;1;0.00
c1cc(cc(c1)C2C(CC)CC2CC(C)CCC(C)C)CCC;2;0.000;2;0.00
*N(*)S(*)=C;3;0.000;1;0.00
*N=C(C=C)C(O*)=C;1;0.000;1;0.00
CCCCCCCCCCCCCC;37;0.000;35;0.00
*[N](*)(*)C=C(C=C)C=CC(=O)O[H];4;0.000;4;0.00
c1ccc(cc1)CCCCCCCC(C)CC;1;0.000;1;0.00
*N1C(=CC(=C)C=C1C(=O)O[H])C(=O)O[H];1;0.000;1;0.00
cc(c(c1cccc(c1)CCC(C)C2CC(c3ccccc3)CC2CC4c5c6ccc(c5C)CC(C)CCc7cccc8c7CCC9CCCCC89c%10cccc(c%10)Cc%11ccc(cc%11)C%12(CCCC%12)C(C4)C6C)C)C(C)CC;2;0.000;2;0.00
ccc(c1cc(c(cc1C)C)C)C;1;0.000;1;0.00
*OOS(=O)O(*)*;2;0.000;2;0.00
*C(=O)C=C(O[H])C(=CC(*)=O)C(*)=O;2;0.000;2;0.00
c1ccc(cc1)CCC(c2ccccc2)CC(CC)CCCCCC(C)CCCc3ccccc3CCCC;1;0.000;1;0.00
c1ccc(cc1)CC(c2cccc(c2)CCC)C;2;0.000;2;0.00
*OC=C1C=CC(=C1)C(=O)O*;1;0.000;1;0.00
*N(*)C1C(=CC=C(O[H])N1*)[N](*)(O[H])O[H];1;0.000;1;0.00
CCCCCCCCC(C)CC;3;0.000;3;0.00
c1cc2c3c(c1)C4CCC(C4)CC3CC(C2)CCCC(C)C;3;0.000;3;0.00
ccc(c)CCCC(C)(C)C;4;0.000;4;0.00
CCC(C)C1CC(C)(C)CC1C;1;0.000;1;0.00
c1ccc(cc1)Cc2cccc(c2)CCC(C)Cc3ccc(cc3)CC;2;0.000;2;0.00
c1ccc(cc1)CCCC(C)CC(C)C;2;0.000;2;0.00
ccc(cc)cCCC(C)C1CCCCC1;5;0.000;5;0.00
*OCS*;1;0.000;1;0.00
*OC1=CC(C=CC1=O)=C2C=[cH][cH]=CN2*;1;0.000;1;0.00
*OC(=O)C1(OC1C(*)=O)C(*)=O;134;0.001;134;0.01
CCCCCCCC(CC)CCCCCCCC(C)C;1;0.000;1;0.00
CCC(C)CCCCCCCC1CCCCC1C(C)CC;1;0.000;1;0.00
CCC1CC2CCC3CCCCC3C(C)C1C4CCCC(CCC(C)C5CC(C)C(C)CCC25)C4;1;0.000;1;0.00
cc(cccC)C(c(c)cccC)c1ccccc1;2;0.000;2;0.00
*I(*)(*)=O;1;0.000;1;0.00
CCCCC(C)CC(C)C;1;0.000;1;0.00
cc(cc1cccc(c1)CC(C)C(C)CC)CCC;1;0.000;1;0.00
c1cc(c2c(c1)C3CCCC3CC2)C;1;0.000;1;0.00
c1ccc(cc1)CCC(c2ccccc2)Cc3cccc(c3)CCCCCCC;1;0.000;1;0.00
cc(ccC1CCC(CCCCCCCCCCCCC)CCCCC2CC(C)CC12)Cc3ccccc3;1;0.000;1;0.00
CCCC1(C)CCC2C(C)(C)CCCC2(C)C1CC;3;0.000;3;0.00
*OCOC1=COC(=CC(O[H])=C)C=C1C=C(C=C)O(*)[H];1;0.000;1;0.00
*OCO*;2667;0.019;1474;0.11
CCCC1CCCC(CC1)C2CCCCC(C2)C(C)C3CCCC3(CC)CCCC4(CC)CCCCC4C;2;0.000;2;0.00
cccc1ccccc1C;2;0.000;2;0.00
*OC(=O)C(O*)=C(C=C)C=C;2;0.000;2;0.00
c1ccc(cc1)C(CCC(C)C)CC2CCC3(CCC4CCC5C6CCC(C(C)CCCC(C)C)C(C)C6CC5C4(C)C3)C2;3;0.000;3;0.00
c1ccc(c(c1)CC)CCCC;1;0.000;1;0.00
CCC(CC)C1CC(C)C(C2CCCCC2)C3(CCCC3)C1C;1;0.000;1;0.00
CCCC1CCCCC(C1)C(C)CC;1;0.000;1;0.00
c1c(cc(cc1C)C(c2cc(cc(c2)C)C)(C)C)C;1;0.000;1;0.00
*OC(OP(=O)(O[H])O[H])O[H];1;0.000;1;0.00
*N(*)CN(*)C(N(*)*)[N](*)(*)*;5;0.000;5;0.00
*N(*)C(=O)C(=C)N(*)*;1;0.000;1;0.00
c1ccc(cc1)C2c3ccccc3CC(C)C2C;1;0.000;1;0.00
c1ccc(c(c1)CCCCC)CC2CCC3(CCC4(CCC(C)C5(C)C(CCC)CCC45)C3)C2;3;0.000;3;0.00
C1CCC1;2;0.000;2;0.00
CC(C)C1CCC(CCCC2CCCCC2C)C1(C)C;20;0.000;20;0.00
CCCCC(CC)C1CCCCC1;1;0.000;1;0.00
*OC(=C)C=C;1;0.000;1;0.00
c1ccc(cc1)CCC(c2ccccc2)CCC(C)CCCC(C)C3CCC4C5CCC6CCCCC6(C)C5CC4C3C;2;0.000;2;0.00
*[N]C([N]*)=NC(=O)O*;3;0.000;3;0.00
*OC(=O)[N](=C)C(*)=O;1;0.000;1;0.00
*N(*)N(*)C=C(C=C)C=C;1;0.000;1;0.00
c1ccc2cc(cccC)ccc2c1;2;0.000;2;0.00
cc-ccc(cc)c1ccccc1;3;0.000;3;0.00
*OC(C(O[H])=C)=C(O*)N(*)O[H];1;0.000;1;0.00
N#C;142;0.001;130;0.01
CC1CCC2(C)CCC(C)C(C)(CCCC3(C)CCCC(C)(C)C3C)C2C1C;1;0.000;1;0.00
ccCC1CCCCC1;5;0.000;5;0.00
c1ccc2c(c1)cc3ccc(cc3c2CCCCCC)C;1;0.000;1;0.00
[C]Cc1ccccc1;2;0.000;2;0.00
CC1CCC2C(C3C(C)CCC13)C2(C)C;1;0.000;1;0.00
cc(ccCC1CC(C)CC1CCCCCCCCCCCCCCCCCC)-c2ccccc2;1;0.000;1;0.00
C1CCC(CC1)C2CCCC(C2)C3CCCCC3;1;0.000;1;0.00
CC1CCC(C)(CC(C)CC2(C)CCC3C(C)(C)CCCC3(C)C2)C(C)C1;1;0.000;1;0.00
c1cc(c2c(c1)C(C)CCC2)C;2;0.000;2;0.00
*C(=O)C(Cl)=C;1;0.000;1;0.00
ccc(cc)CCCCC1CCC(CCCCCCC)CC1;1;0.000;1;0.00
CC1(C)CC1;2;0.000;2;0.00
c1ccc2c(c1)cc3cccc4c3c2CC(CCCCC)C45CCC(c6ccc(cc6)CC(C)C)(CC)C5;1;0.000;1;0.00
*N(*)C(=S)C=NN(*)C(=S)N(*)*;2;0.000;2;0.00
*C(=O)C(=C)N(*)CSC=CC(=O)C=C;1;0.000;1;0.00
*OC(=O)C=CC(=O)OC(*)=O;1;0.000;1;0.00
*OCOC(*)=O;100;0.001;99;0.01
N1=C2C=CC3=NC(C=C3)=C4N=C(C=CC5=NC(C=C5)=C1C=C2)C=C4;1;0.000;1;0.00
CC1CC1(C)C;6;0.000;4;0.00
c1ccc(cc1)-c2ccccc2Cc3ccccc3;1;0.000;1;0.00
CCC(C)C1(C)CCCCC1;3;0.000;3;0.00
CCC(C)(CC)C(C)C(C)C;1;0.000;1;0.00
CCCC1CCCCC1;16;0.000;16;0.00
*OC(=O)C=1C=NC(N(*)CO*)[N](*)(*)C1;1;0.000;1;0.00
c1ccc(cc1)-cccc2ccccc2;4;0.000;4;0.00
CCCCCCCCCCC1CCCCC1;1;0.000;1;0.00
CCCC1(C)C(C)CCC2CCCC(C)C21;2;0.000;2;0.00
*S(*)=S;2;0.000;1;0.00
*C(=O)N(*)C(N(*)*)N(*)CN(*)CN(*)*;65;0.000;65;0.01
[H]OC=CC(=O)C=C;1;0.000;1;0.00
*S(*)=O;11;0.000;11;0.00
CC1CCCC1(C)C;13;0.000;13;0.00
c1ccc2c(c1)cc(c3ccccc23)C;1;0.000;1;0.00
*C(=O)N(*)S(*)(=O)=O;4;0.000;4;0.00
ccc(c)C;12;0.000;12;0.00
c1ccc(cc1)C2(C)CCCC2;1;0.000;1;0.00
CCCC(C)C1CCC(C)C1C;1;0.000;1;0.00
cc(c)c(ccc(c)c(ccC)C)c1cc(cc(c1)CC)C;1;0.000;1;0.00
c1ccc(cc1)CC2C(C)CCC3C(C)(C)CCCC23C;1;0.000;1;0.00
*[N](*)(*)C=[cH][cH]=CC=C;2;0.000;2;0.00
*ON(*)*;11;0.000;11;0.00
CCC(C)C1CCC2(C)CCCC2C1CC;7;0.000;7;0.00
CCCCCCCCCCCCCCCCCCCCC(C)CC(C)C;1;0.000;1;0.00
CCCCC(C)C(CCC1CCCCC1)C2CCC3(CC4CCCCC4C5CCC(CC53)C(C)CC6CCCCC6C)C2;1;0.000;1;0.00
c1ccc(cc1)cc2ccccc2;2;0.000;2;0.00
CC1CC(C)(C)CC1C(C)(C)C;2;0.000;2;0.00
c1ccc(cc1)CCCCCC(Cc2ccccc2)CCCCC;3;0.000;3;0.00
c1ccc(cc1)C(Cc2ccccc2C)CCc3ccc(cc3)CC;1;0.000;1;0.00
c1ccc(c(c1)CCCC)CCCC(C)CC2CCCC(CC)C3(CCCC3)C2;1;0.000;1;0.00
c1ccc(c(c1)-cc(ccC2CCC(CCCCCCCCCCCCC)CCCCC3CC(C)CC23)CC)Cc4ccc(cc4)C(C)C;2;0.000;2;0.00
CC1(C)CCCC(C)(CCCCCC2CCCCC2)C1;1;0.000;1;0.00
*N(*)N=C1C(=NC(=S)N(*)C1=O)O[H];5;0.000;5;0.00
c1ccc(cc1)c2cCCC(CCc3cccc(c3)c4cCCCC(C)CC4)C(C)CC2;1;0.000;1;0.00
cc(c)c(c)CCc1ccccc1;1;0.000;1;0.00
*N(*)O[H];10;0.000;10;0.00
*OC=O;1;0.000;1;0.00
*N(*)C1N(*)C=C(SS(=O)(=O)O[H])[N]1(*)*;1;0.000;1;0.00
